How many times specializaion failed for a symbol during Agda build, without -foptimise-heavily
("Agda.Syntax.Common.Pretty.$fPrettyNonEmpty",2)
("Agda.Syntax.Concrete.$w$cshowsPrec1",2)
("Agda.Syntax.Concrete.Pretty.$fShowImportDirective'_$cshowsPrec1",2)
("Agda.Syntax.Info.$fShowDefInfo'_$cshowsPrec",2)
("Agda.Syntax.Internal.$fLensSortArg",2)
("Agda.Syntax.Internal.$fNFDataDom'_$crnf",2)
("Agda.Syntax.Internal.$fPrettyBlocked'_$cpretty",2)
("Agda.Syntax.Internal.$fPrettyPattern'",2)
("Agda.Syntax.Internal.$fPrettyTele",2)
("Agda.Syntax.Internal.$fShowSubstitution'",2)
("Agda.Syntax.Internal.$fShowTele",2)
("Agda.Syntax.Internal.$fTraversableTele_$ctraverse",2)
("Agda.Syntax.Internal.Blockers.$fShowBlocked'",2)
("Agda.Syntax.Internal.Defs.$fMonadGetDefsReaderT",2)
("Agda.Syntax.Internal.Elim.$fPrettyElim'",2)
("Agda.Syntax.Internal.Generic.$fTermLike(,)",2)
("Agda.Syntax.Internal.Generic.$fTermLikeDom'",2)
("Agda.Syntax.Internal.Generic.$fTermLikeList",2)
("Agda.Syntax.Internal.MetaVars.$fAllMetas(,,,)_$callMetas",2)
("Agda.Syntax.Internal.Names.$fNamesInBuiltin_$cnamesAndMetasIn'1",2)
("Agda.Syntax.Internal.Names.$fNamesInDefinition_$cnamesAndMetasIn'2",2)
("Agda.Syntax.Internal.Names.$fNamesInDefinition_$cnamesAndMetasIn'4",2)
("Agda.Syntax.Internal.Pattern.$fPatternLikeaPattern'_$cfoldrPattern",2)
("Agda.Syntax.Internal.Suggestion",2)
("Agda.Syntax.Position.$fHasRange(,,,)_$cgetRange",2)
("Agda.Syntax.Position.$fKillRangeSet_$ckillRange",2)
("Agda.Syntax.Position.$fOrdRange'",2)
("Agda.Syntax.Position.$fPrettyRange'",2)
("Agda.Syntax.Position.$fShowPosition'_$cshowsPrec",2)
("Agda.Syntax.Translation.AbstractToConcrete.$fToConcreteArg",2)
("Agda.Syntax.Translation.InternalToAbstract.$fReifyNamedClause_$creify",2)
("Agda.Syntax.Translation.InternalToAbstract.reifyTerm",2)
("Agda.Termination.Order.$fNotWorseMatrix_$cnotWorse",2)
("Agda.Termination.Semiring.C:HasZero",2)
("Agda.Termination.SparseMatrix.$fOrdMatrix_$c<",2)
("Agda.Termination.SparseMatrix.$fOrdMatrix_$ccompare",2)
("Agda.Termination.SparseMatrix.$fShowMatrix_$cshowsPrec",2)
("Agda.Termination.SparseMatrix.$fTransposeMatrix_$ctranspose",2)
("Agda.TypeChecking.CheckInternal.$fCheckInternalLevel'_$ccheckInternal'",2)
("Agda.TypeChecking.Free.Lazy.$fFreeArg_$cfreeVars'",2)
("Agda.TypeChecking.Free.Lazy.$fFreeDom'_$cfreeVars'1",2)
("Agda.TypeChecking.Free.Lazy.$fFreeElim'_$cfreeVars'",2)
("Agda.TypeChecking.Free.Lazy.$fFreeEqualityView_$s$cfreeVars'1",2)
("Agda.TypeChecking.Free.Lazy.$fFreeTele_$cfreeVars'",2)
("Agda.TypeChecking.Free.Lazy.$fIsVarSetaVarMap'",2)
("Agda.TypeChecking.Free.Lazy.$fShowVarMap'_$cshowsPrec",2)
("Agda.TypeChecking.Monad.Base.$fMonadTCEnvBlockT_$clocalTC",2)
("Agda.TypeChecking.Monad.Base.$fMonadTCEnvMaybeT",2)
("Agda.TypeChecking.Monad.Base.$fMonadTCEnvTCMT2",2)
("Agda.TypeChecking.Monad.Base.$fMonadTCEnvWriterT",2)
("Agda.TypeChecking.Monad.Base.$fMonadTCMBlockT_$cliftTCM",2)
("Agda.TypeChecking.Monad.Base.$fMonadTCMExceptT_$cp1MonadTCM",2)
("Agda.TypeChecking.Monad.Base.$fMonadTCMExceptT_$cp3MonadTCM",2)
("Agda.TypeChecking.Monad.Base.$fMonadTCMReaderT_$cliftTCM",2)
("Agda.TypeChecking.Monad.Base.$fMonadTCMReaderT_$cp1MonadTCM",2)
("Agda.TypeChecking.Monad.Base.$fMonadTCMReaderT_$cp3MonadTCM",2)
("Agda.TypeChecking.Monad.Base.$fMonadTCMStateT",2)
("Agda.TypeChecking.Monad.Base.$fMonadTCMT1",2)
("Agda.TypeChecking.Monad.Base.$fMonoidTCMT_$cmconcat",2)
("Agda.TypeChecking.Monad.Base.$fReadTCStateExceptT_$cp1ReadTCState",2)
("Agda.TypeChecking.Monad.Base.$fReadTCStateMaybeT",2)
("Agda.TypeChecking.Monad.Base.$fReadTCStateReaderT_$clocallyTCState",2)
("Agda.TypeChecking.Monad.Base.$fReadTCStateWriterT",2)
("Agda.TypeChecking.Monad.Base.$fTraversableIPBoundary'_$ctraverse",2)
("Agda.TypeChecking.Monad.Base.C:MonadBlock",2)
("Agda.TypeChecking.Monad.Base.C:MonadFresh",2)
("Agda.TypeChecking.Monad.Base.C:MonadStConcreteNames",2)
("Agda.TypeChecking.Monad.Context.$fMonadAddContextBlockT_$cupdateContext",2)
("Agda.TypeChecking.Monad.Context.$fMonadAddContextReaderT",2)
("Agda.TypeChecking.Monad.Context.$fMonadAddContextStateT",2)
("Agda.TypeChecking.Monad.Context.$wunderAbstraction",2)
("Agda.TypeChecking.Monad.Context.underAbstractionAbs_$sunderAbstractionAbs'",2)
("Agda.TypeChecking.Monad.MetaVars.C:MonadInteractionPoints",2)
("Agda.TypeChecking.Monad.Pure.$fPureTCMMaybeT",2)
("Agda.TypeChecking.Monad.Pure.$fPureTCMStateT",2)
("Agda.TypeChecking.Monad.Signature.$fHasConstInfoChangeT",2)
("Agda.TypeChecking.Monad.Statistics.C:MonadStatistics",2)
("Agda.TypeChecking.Monad.Trace.$fMonadTraceReaderT_$ctraceCall",2)
("Agda.TypeChecking.Monad.Trace.$fMonadTraceStateT",2)
("Agda.TypeChecking.Names.$fHasBuiltinsNamesT_$cp3HasBuiltins",2)
("Agda.TypeChecking.Names.$fMonadDebugNamesT",2)
("Agda.TypeChecking.Names.$fPureTCMNamesT",2)
("Agda.TypeChecking.Names.$fSubstAbsN",2)
("Agda.TypeChecking.Names.abstractN1",2)
("Agda.TypeChecking.Names.appTel1",2)
("Agda.TypeChecking.Patterns.Abstract.$fExpandPatternSynonymsList_$cexpandPatternSynonyms",2)
("Agda.TypeChecking.Pretty.$fPrettyTCM(,,)_$cprettyTCM",2)
("Agda.TypeChecking.Pretty.$fPrettyTCMBlocked'_$cprettyTCM",2)
("Agda.TypeChecking.Pretty.$fPrettyTCMCompareAs_$cprettyTCM",2)
("Agda.TypeChecking.Pretty.$fPrettyTCMDisplayTerm_$cprettyTCM",2)
("Agda.TypeChecking.Pretty.$fPrettyTCMElim'_$cprettyTCM1",2)
("Agda.TypeChecking.Pretty.$fPrettyTCMLevel'_$cprettyTCM",2)
("Agda.TypeChecking.Pretty.$fPrettyTCMName_$cprettyTCM",2)
("Agda.TypeChecking.Pretty.$fPrettyTCMRange'_$cprettyTCM",2)
("Agda.TypeChecking.Pretty.$fPrettyTCMRewriteRule_$cprettyTCM",2)
("Agda.TypeChecking.Records.$fNormaliseProjPList_$cnormaliseProjP",2)
("Agda.TypeChecking.Records.$winsertMissingFields",2)
("Agda.TypeChecking.Reduce.$fInstantiateFull(,,,)_$cinstantiateFull'",2)
("Agda.TypeChecking.Reduce.$fReduceAbs",2)
("Agda.TypeChecking.Rules.LHS.Problem.$fShowFlexibleVar_$cshowsPrec1",2)
("Agda.TypeChecking.Rules.LHS.Unify.Types.$fPrettyTCMUnifyState_$cprettyTCM",2)
("Agda.TypeChecking.Rules.LHS.Unify.Types.$fPrettyTCMUnifyStep_$cprettyTCM",2)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrj(,)",2)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjHashMap",2)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjHashMap1",2)
("Agda.TypeChecking.Serialise.Instances.Common.$fEmbPrjList_$cicod_",2)
("Agda.TypeChecking.SizedTypes.Utils.C:Dioid",2)
("Agda.TypeChecking.SizedTypes.Utils.C:Top",2)
("Agda.TypeChecking.Substitute.$fDeBruijnPattern'",2)
("Agda.TypeChecking.Substitute.$fSubst(,)",2)
("Agda.TypeChecking.Substitute.$fSubstElim'",2)
("Agda.TypeChecking.Substitute.$fSubstLevel'",2)
("Agda.TypeChecking.Substitute.$fSubstNamed",2)
("Agda.TypeChecking.Substitute.$fSubstPlusLevel'",2)
("Agda.TypeChecking.Substitute.$wrenaming",2)
("Agda.TypeChecking.Substitute.DeBruijn.$fDeBruijnNamed",2)
("Agda.TypeChecking.Telescope.$wtelViewUpToPathBoundary'",2)
("Agda.TypeChecking.Warnings.$fMonadWarningStateT",2)
("Agda.TypeChecking.Warnings.warnings'",2)
("Agda.Utils.BiMap.$w$salterM",2)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.$fOrdEdge_$ccompare",2)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.$wgaussJordanFloydWarshallMcNaughtonYamada",2)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.composeWith1",2)
("Agda.Utils.Graph.AdjacencyMap.Unidirectional.renameNodesMonotonic1",2)
("Agda.Utils.List.stripReversedSuffix",2)
("Agda.Utils.List2.$fEqList2_$c==",2)
("Agda.Utils.List2.$fTraversableList2_$ctraverse",2)
("Agda.Utils.ListT.$fMonadListT_$c>>=",2)
("Agda.Utils.PartialOrd.$fPartialOrdInclusion_$ccomparable1",2)
("Agda.Utils.RangeMap.$fShowRangeMap",2)
("Agda.Utils.SemiRing.$fStarSemiRingMaybe",2)
("Agda.Utils.Semigroup.$fSemigroupReaderT",2)
("Agda.Utils.SmallSet.C:SmallSetElement",2)
("Agda.Utils.Trie.$fNFDataTrie_$crnf",2)
("AssocList.updateAt",2)
("C.lensQNameName",2)
("CC.topLevelModuleName",2)
("Control.Monad.Trans.Except.$fFunctorExceptT",2)
("Control.Monad.Trans.Maybe.$fApplicativeMaybeT",2)
("Control.Monad.Trans.Maybe.$fMonadMaybeT",2)
("Control.Monad.Trans.Reader.$fApplicativeReaderT",2)
("Control.Monad.Trans.State.Lazy.$fApplicativeStateT1",2)
("Control.Monad.Trans.State.Lazy.$fFunctorStateT1",2)
("Control.Monad.Writer.Class.$fMonadWriterwWriterT0",2)
("Data.HashSet.Internal.$fShowHashSet_$cshowsPrec",2)
("Data.IntMap.Internal.$fNFDataIntMap_$crnf",2)
("Data.IntMap.Internal.$fShowIntMap_$cshowsPrec",2)
("Data.Map.Internal.$fMonoidMap",2)
("Data.Set.Internal.$fEqSet",2)
("GHC.Base.$fMonoidFUN",2)
("GHC.Base.$fSemigroupFUN",2)
("GHC.Base.C:Alternative",2)
("GHC.Ix.C:Ix",2)
("GHC.Show.$fShow(,,)_$cshowsPrec",2)
("GHC.Show.$fShowMaybe",2)
("GHC.Show.$w$cshowsPrec2",2)
("List1.union",2)
("SmallSet.elems",2)
("System.Console.Haskeline.promptedInput",2)
("System.Process.Common.$fProcessResulttext(,,)",2)
("Test.QuickCheck.Arbitrary.$fCoArbitrarySeq_$ccoarbitrary",2)
("Test.QuickCheck.Function.$fArbitraryFun1",2)
("Test.QuickCheck.Function.$fArbitraryFun_$cshrink",2)
("Test.QuickCheck.Function.showFunction",2)
("Trie.lookup",2)
("abstractToConcreteScope",2)
("addFlexRig",2)
("addOrUnblocker",2)
("applyN",2)
("bindN",2)
("bindNArg",2)
("checkOpts",2)
("checkpointSubstitution'",2)
("cluster'",2)
("coerce",2)
("combineSys",2)
("commonPrefix",2)
("compareSort",2)
("compareTermOnFace",2)
("compareTermOnFace'",2)
("composeFlexRig",2)
("connectInteractionPoint",2)
("constructorForm'",2)
("dirty",2)
("editDistance",2)
("enterClosure",2)
("etaExpandClause",2)
("etaExpandListeners",2)
("expandLitPattern",2)
("explainWhyInScope",2)
("finally",2)
("findOverlap",2)
("fittingNamedArg",2)
("forallFaceMaps",2)
("fromLists",2)
("getConstraintsForProblem",2)
("getErasedConArgs",2)
("getMetaTypeInContext",2)
("getModuleParameterSub",2)
("getOriginalConstInfo",2)
("getPartialDefs",2)
("getTypedHead",2)
("ghc-prim:GHC.Classes.$fEq(,,,)_$c==",2)
("hang",2)
("haskeline-0.8.2.1:System.Console.Haskeline.InputT.$fMonadCatchInputT1",2)
("haskeline-0.8.2.1:System.Console.Haskeline.InputT.$wrunInputTBehavior",2)
("hcat",2)
("headStop",2)
("hfill",2)
("ifTopLevelAndHighlightingLevelIsOr",2)
("imin",2)
("implicitNamedArgs",2)
("infer",2)
("instantiateRewriteRules",2)
("isDatatypeModule",2)
("isEtaOrCoinductiveRecordConstructor",2)
("isEtaRecord",2)
("isRecordConstructor",2)
("isSingletonType'",2)
("iterate'",2)
("levelView",2)
("listS",2)
("lookupLocalMeta",2)
("lookupLocalMeta'",2)
("lookupMeta",2)
("mapAbstraction",2)
("metasCreatedBy",2)
("mustBePi",2)
("nonLinMatch",2)
("pretty",2)
("prettyWarning",2)
("printStatistics",2)
("productOfEdgesInBoundedWalk",2)
("quotedName",2)
("reduceProjectionLike",2)
("registerInteractionPoint",2)
("sayWhen",2)
("setTerminates",2)
("shouldPostponeInstanceSearch",2)
("showThousandSep",2)
("sizeType",2)
("sizeView",2)
("sortKit",2)
("telViewUpToPathBoundary",2)
("toLType",2)
("toLists",2)
("translateCompiledClauses",2)
("unfoldInlined",2)
("unifyIndices'",2)
("withConstraint",2)
("withCurrentModule",2)
("zipMatrices",2)
("$callHoles",1)
("$cassignTerm'",1)
("$cfoldrCPattern",1)
("$cforceNotFree'",1)
("$cmaybeFlexiblePattern",1)
("$cnoShrink_sR9f",1)
("$cprettyPrec",1)
("$creduce'",1)
("$cshrinkC_sRbU",1)
("$cshrinkC_sRbV",1)
("$csynEq'",1)
("$fCheckInternalLevel'_$ccheckInternal'",1)
("$fEqArg_$c==5",1)
("$fEqDom'_$c==",1)
("$fEqList_$c==",1)
("$fEqRanged",1)
("$fEqWithOrigin",1)
("$fFree(,,)_$cfreeVars'1",1)
("$fFreeDom'_$cfreeVars'1",1)
("$fFreeEqualityView_$s$cfreeVars'",1)
("$fMonadReduceTCMT1",1)
("$fOrdList_$ccompare",1)
("$fPrettyArg_$cprettyList",1)
("$fPrettyArg_$cprettyPrec",1)
("$fPrettyElim'_$cprettyPrec",1)
("$fShowDom'",1)
("$wsingletonS",1)
("<?>",1)
("A.insertImplicitPatSynArgs",1)
("ANSI.putDoc",1)
("Agda.Auto.NarrowingSearch.Blocked",1)
("Agda.Auto.NarrowingSearch.PBlocked",1)
("Agda.Auto.NarrowingSearch.Term",1)
("Agda.Auto.SearchControl.$fTrav(,)_$ctrav2",1)
("Agda.Compiler.Common.doCompile1",1)
("Agda.Compiler.MAlonzo.Compiler.C:ReadGHCOpts",1)
("Agda.Interaction.BasicOps.$fPrettyIPFace'",1)
("Agda.Interaction.BasicOps.$fPrettyOutputConstraint_$cpretty",1)
("Agda.Interaction.EmacsCommand.$fEqLisp_$c==",1)
("Agda.Interaction.Highlighting.LaTeX.Base.$fMonadLogLaTeXReaderT",1)
("Agda.Interaction.Highlighting.Precise.$fIsBasicRangeMapaDelayedMerge",1)
("Agda.Interaction.Highlighting.Precise.$fIsBasicRangeMapaDelayedMerge_$ccoveringRange",1)
("Agda.Interaction.Highlighting.Precise.$fIsBasicRangeMapaDelayedMerge_$ctoList",1)
("Agda.Interaction.Highlighting.Precise.$fIsBasicRangeMapaDelayedMerge_$ctoMap",1)
("Agda.Interaction.Highlighting.Precise.$fShowDelayedMerge",1)
("Agda.Interaction.JSON.$fEncodeTCMList0_$cencodeTCM",1)
("Agda.Interaction.Options.HasOptions.$fHasOptionsExceptT",1)
("Agda.Interaction.Options.HasOptions.$fHasOptionsStateT",1)
("Agda.Syntax.Abstract.$fNFDataClause'_$crnf",1)
("Agda.Syntax.Abstract.$fShowLHSCore'_$cshowsPrec",1)
("Agda.Syntax.Abstract.Name.$fPrettyQNamed_$cpretty",1)
("Agda.Syntax.Abstract.Name.$fShowQNamed_$cshowsPrec",1)
("Agda.Syntax.Abstract.Name.$w$clensFixity",1)
("Agda.Syntax.Abstract.Pattern.$fAPatternLikeMaybe",1)
("Agda.Syntax.Abstract.Pattern.$fAPatternLikePattern'_$ctraverseAPatternM",1)
("Agda.Syntax.Abstract.Pretty.prettyAs",1)
("Agda.Syntax.Abstract.Views.$fDeclaredNamesClause'_$cdeclaredNames1",1)
("Agda.Syntax.Common.$fEqImportDirective'",1)
("Agda.Syntax.Common.$fEqUnderAddition",1)
("Agda.Syntax.Common.$fEqUnderComposition",1)
("Agda.Syntax.Common.$fEqUsing'",1)
("Agda.Syntax.Common.$fOrdArg",1)
("Agda.Syntax.Common.$fOrdImportedName'",1)
("Agda.Syntax.Common.$fOrdImportedName'_$c>=",1)
("Agda.Syntax.Common.$fPrettyRewriteEqn'_$cpretty",1)
("Agda.Syntax.Common.$fShowImportedName'",1)
("Agda.Syntax.Common.$fShowImportedName'_$cshowsPrec",1)
("Agda.Syntax.Common.$fShowNamed_$cshowsPrec",1)
("Agda.Syntax.Common.$fShowRanged",1)
("Agda.Syntax.Common.$fShowTerminationCheck_$cshow",1)
("Agda.Syntax.Common.$fShowUnderAddition",1)
("Agda.Syntax.Common.$fShowUnderComposition",1)
("Agda.Syntax.Common.$w$cshowsPrec6",1)
("Agda.Syntax.Common.Pretty.$fPrettyIntMap",1)
("Agda.Syntax.Common.Pretty.$fPrettyList_$cprettyList",1)
("Agda.Syntax.Common.Pretty.$fPrettyMap",1)
("Agda.Syntax.Common.Pretty.$fPrettyMap_$cprettyList",1)
("Agda.Syntax.Common.Pretty.$fPrettyNonEmpty_$cpretty",1)
("Agda.Syntax.Common.Pretty.$fPrettyNonEmpty_$cprettyList",1)
("Agda.Syntax.Common.Pretty.prettyMap",1)
("Agda.Syntax.Common.getNameOf1",1)
("Agda.Syntax.Concrete.$fShowAsName'",1)
("Agda.Syntax.Concrete.Fixity.C:MonadFixityError",1)
("Agda.Syntax.Concrete.Name.$fLensInScopeName_$clensInScope",1)
("Agda.Syntax.Concrete.Operators.Parser.argsP1",1)
("Agda.Syntax.Concrete.Operators.Parser.atomP1",1)
("Agda.Syntax.Concrete.Pretty.$fPrettyImportedName'",1)
("Agda.Syntax.Concrete.Pretty.$fPrettyImportedName'_$cprettyList",1)
("Agda.Syntax.Concrete.Pretty.$fShowImportDirective'",1)
("Agda.Syntax.Info.$fEqDefInfo'_$c==",1)
("Agda.Syntax.Info.$fNFDataDefInfo'_$crnf",1)
("Agda.Syntax.Internal.$fLensSortArg1",1)
("Agda.Syntax.Internal.$fNFDataTele_$crnf",1)
("Agda.Syntax.Internal.$fPrettyAbs_$cpretty",1)
("Agda.Syntax.Internal.$fPrettyDom'",1)
("Agda.Syntax.Internal.$fPrettyDom'_$cpretty",1)
("Agda.Syntax.Internal.$fPrettySubstitution'_$cpretty",1)
("Agda.Syntax.Internal.$fPrettyTele_$cpretty",1)
("Agda.Syntax.Internal.$fShowAbs",1)
("Agda.Syntax.Internal.$fShowAbs_$cshow",1)
("Agda.Syntax.Internal.$fShowAbs_$cshowsPrec",1)
("Agda.Syntax.Internal.$fShowDom'_$cshowList",1)
("Agda.Syntax.Internal.$fShowTele_$cshow",1)
("Agda.Syntax.Internal.$fShowTele_$cshowsPrec",1)
("Agda.Syntax.Internal.$fShowType''_$cshow",1)
("Agda.Syntax.Internal.$fTraversableAbs_$ctraverse",1)
("Agda.Syntax.Internal.$w$cshowsPrec9",1)
("Agda.Syntax.Internal.Blockers.$fSemigroupBlocked'",1)
("Agda.Syntax.Internal.Blockers.$fShowBlocked'_$cshow",1)
("Agda.Syntax.Internal.Blockers.$fShowBlocked'_$cshowsPrec1",1)
("Agda.Syntax.Internal.Blockers.$fShowNotBlocked'",1)
("Agda.Syntax.Internal.Blockers.$fShowNotBlocked'_$cshow",1)
("Agda.Syntax.Internal.Blockers.$fTraversableBlocked'_$ctraverse",1)
("Agda.Syntax.Internal.Defs.$fGetDefsAbs_$cgetDefs2",1)
("Agda.Syntax.Internal.Defs.$fGetDefsList0_$cgetDefs",1)
("Agda.Syntax.Internal.Elim.$fFoldableElim'_$cfoldMap",1)
("Agda.Syntax.Internal.Elim.$fShowElim'",1)
("Agda.Syntax.Internal.Elim.$fShowElim'_$cshowList",1)
("Agda.Syntax.Internal.Generic.$fTermLike(,)_$ctraverseTermM2",1)
("Agda.Syntax.Internal.Generic.$fTermLike(,,)_$cfoldTerm",1)
("Agda.Syntax.Internal.Generic.$fTermLike(,,,)_$cfoldTerm",1)
("Agda.Syntax.Internal.Generic.$fTermLikeArg_$s$ctraverseTermM",1)
("Agda.Syntax.Internal.Generic.$fTermLikeMaybe_$ctraverseTermM",1)
("Agda.Syntax.Internal.Generic.$fTermLikeTele",1)
("Agda.Syntax.Internal.Generic.$fTermLikeType''_$cfoldTerm1",1)
("Agda.Syntax.Internal.Generic.$fTermLikeType''_$ctraverseTermM",1)
("Agda.Syntax.Internal.MetaVars.$fAllMetas(,,)_$callMetas",1)
("Agda.Syntax.Internal.MetaVars.$fAllMetasDom'_$callMetas",1)
("Agda.Syntax.Internal.Names.$fNamesIn(,,)_$cnamesAndMetasIn'",1)
("Agda.Syntax.Internal.Names.$fNamesIn(,,,)_$cnamesAndMetasIn'",1)
("Agda.Syntax.Internal.Names.$fNamesInCase_$cnamesAndMetasIn'2",1)
("Agda.Syntax.Internal.Names.$fNamesInDefinition_$cnamesAndMetasIn'1",1)
("Agda.Syntax.Internal.Names.$fNamesInHashMap_$cnamesAndMetasIn'",1)
("Agda.Syntax.Internal.Pattern.$fPatternLikeaArg",1)
("Agda.Syntax.Internal.Pattern.$fPatternLikeaList_$ctraversePatternM",1)
("Agda.Syntax.Internal.Pattern.$fPatternLikeaNamed",1)
("Agda.Syntax.Internal.Pattern.$fPatternLikeaPattern'_$ctraversePatternM",1)
("Agda.Syntax.Position.$fEqInterval'",1)
("Agda.Syntax.Position.$fEqInterval'_$c==",1)
("Agda.Syntax.Position.$fHasRangeList2_$cgetRange",1)
("Agda.Syntax.Position.$fKillRange(,)_$ckillRange",1)
("Agda.Syntax.Position.$fOrdPosition'_$ccompare",1)
("Agda.Syntax.Position.$fOrdRange'_$c<",1)
("Agda.Syntax.Position.$fOrdRange'_$c>=",1)
("Agda.Syntax.Position.$fOrdRange'_$ccompare",1)
("Agda.Syntax.Position.$fPrettyPrintRange_$cpretty",1)
("Agda.Syntax.Position.$fSemigroupRange'_$csconcat",1)
("Agda.Syntax.Position.$fSemigroupRange'_$cstimes",1)
("Agda.Syntax.Position.$fShowInterval'",1)
("Agda.Syntax.Position.$fShowPosition'",1)
("Agda.Syntax.Scope.Base.C:InScope",1)
("Agda.Syntax.Translation.AbstractToConcrete.$fToConcrete(,)",1)
("Agda.Syntax.Translation.AbstractToConcrete.$fToConcreteList",1)
("Agda.Syntax.Translation.AbstractToConcrete.$w$cbindToConcrete2",1)
("Agda.Syntax.Translation.InternalToAbstract.$fReify(,)",1)
("Agda.Syntax.Translation.InternalToAbstract.$fReify(,)_$creify",1)
("Agda.Syntax.Translation.InternalToAbstract.$fReify(,)_$creify1",1)
("Agda.Syntax.Translation.InternalToAbstract.$fReifyAbs",1)
("Agda.Syntax.Translation.InternalToAbstract.$fReifyArg_$creify",1)
("Agda.Syntax.Translation.InternalToAbstract.$fReifyDom'_$s$creify",1)
("Agda.Syntax.Translation.InternalToAbstract.$fReifyElim'3",1)
("Agda.Syntax.Translation.InternalToAbstract.$fReifyLevel'_$creify",1)
("Agda.Syntax.Translation.InternalToAbstract.$fReifyNamed",1)
("Agda.Syntax.Translation.InternalToAbstract.$fReifyTele_$creify",1)
("Agda.Syntax.Translation.InternalToAbstract.$fReifyType''_$creify",1)
("Agda.Termination.CallGraph.$fPrettyCallGraph",1)
("Agda.Termination.CallGraph.$fPrettyCallGraph_$cpretty",1)
("Agda.Termination.CallMatrix.$fPrettyCMSet_$cpretty1",1)
("Agda.Termination.Monad.$fMonoidTerM5",1)
("Agda.Termination.Monad.$fPrettyTCMMasked_$cprettyTCM",1)
("Agda.Termination.Monad.$fShowMasked_$cshowsPrec",1)
("Agda.Termination.Monad.C:MonadTer",1)
("Agda.Termination.RecCheck.anyDefs13",1)
("Agda.Termination.SparseMatrix.$fOrdMIx",1)
("Agda.Termination.SparseMatrix.$fOrdMIx_$c<",1)
("Agda.Termination.SparseMatrix.$fPartialOrdMatrix_$ccomparable",1)
("Agda.Termination.SparseMatrix.$fShowMIx_$cshowsPrec",1)
("Agda.Termination.SparseMatrix.$fShowMatrix",1)
("Agda.Termination.SparseMatrix.$fShowMatrix_$cshow",1)
("Agda.Termination.SparseMatrix.$fShowSize_$cshowsPrec",1)
("Agda.Termination.SparseMatrix.$w$cdiagonal",1)
("Agda.Termination.SparseMatrix.$wtoLists",1)
("Agda.TypeChecking.CheckInternal.$fCheckInternalList_$ccheckInternal'",1)
("Agda.TypeChecking.CompiledClause.$fMonoidCase_$c<>",1)
("Agda.TypeChecking.CompiledClause.$fShowCompiledClauses'",1)
("Agda.TypeChecking.CompiledClause.$fTermLikeCompiledClauses'_$ctraverse",1)
("Agda.TypeChecking.CompiledClause.prettyMap__$sprettyMap_",1)
("Agda.TypeChecking.Conversion.compareType",1)
("Agda.TypeChecking.Coverage.Match.matchClause_$smatchPats",1)
("Agda.TypeChecking.Coverage.SplitTree.$fKillRangeSplitTree'_$ckillRange",1)
("Agda.TypeChecking.Coverage.SplitTree.$fNFDataSplitTree'_$crnf",1)
("Agda.TypeChecking.Coverage.SplitTree.$fShowSplitTree'",1)
("Agda.TypeChecking.Free.Lazy.$fEqFlexRig'",1)
("Agda.TypeChecking.Free.Lazy.$fEqVarMap'",1)
("Agda.TypeChecking.Free.Lazy.$fEqVarOcc'",1)
("Agda.TypeChecking.Free.Lazy.$fEqVarOcc'_$c==",1)
("Agda.TypeChecking.Free.Lazy.$fFreeDom'_$cfreeVars'",1)
("Agda.TypeChecking.Free.Lazy.$fFreeElim'_$s$cfreeVars'",1)
("Agda.TypeChecking.Free.Lazy.$fMonoidVarMap'",1)
("Agda.TypeChecking.Free.Lazy.$fMonoidVarOcc'",1)
("Agda.TypeChecking.Free.Lazy.$fSemigroupVarMap'",1)
("Agda.TypeChecking.Free.Lazy.$fSemigroupVarOcc'",1)
("Agda.TypeChecking.Free.Lazy.$fShowFlexRig'",1)
("Agda.TypeChecking.Free.Lazy.$fShowVarMap'",1)
("Agda.TypeChecking.Free.Lazy.$fShowVarOcc'",1)
("Agda.TypeChecking.Free.Lazy.$fShowVarOcc'_$cshowsPrec",1)
("Agda.TypeChecking.Free.Lazy.variable1",1)
("Agda.TypeChecking.Free.Precompute.$fPrecomputeFreeVarsAbs_$cprecomputeFreeVars",1)
("Agda.TypeChecking.Free.Reduce.C:ForceNotFree",1)
("Agda.TypeChecking.Implicit.implicitNamedArgs",1)
("Agda.TypeChecking.Level.$fShowSingleLevel'_$cshowsPrec",1)
("Agda.TypeChecking.MetaVars.C:ReduceAndEtaContract",1)
("Agda.TypeChecking.MetaVars.Occurs.prune1",1)
("Agda.TypeChecking.Monad.Base.$fFreeConstraint_$cfreeVars'",1)
("Agda.TypeChecking.Monad.Base.$fLensIsAbstractMetaInfo_$clensIsAbstract",1)
("Agda.TypeChecking.Monad.Base.$fMonadBlockReaderT",1)
("Agda.TypeChecking.Monad.Base.$fMonadFreshiListT",1)
("Agda.TypeChecking.Monad.Base.$fMonadFreshiListT_$cp1MonadFresh",1)
("Agda.TypeChecking.Monad.Base.$fMonadFreshiStateT",1)
("Agda.TypeChecking.Monad.Base.$fMonadReduceBlockT_$cliftReduce",1)
